,Style_1,Style_2,External(SSIM),External(MSE),Internal(SSIM),Internal(MSE),Plan(SSIM),Plan(MSE),Concept(Text),Topology,External(VGG16),Internal(VGG16),Plan(VGG16),Concept(BoW),Concept(Transformer)
HagiaSophia&AbbeyChurchOfSainteFoy,01_Byzantine,02_Romanesque,32.08579531,11.37488484,13.61164287,15.09247258,40.1050279,7.435248015,89.55645561,60,0.302304685,0.426403888,0.42600365,0.656920979,0.205953643
HagiaSophia&Durham Cathedral,01_Byzantine,02_Romanesque,32.88259059,9.801034437,14.47919769,7.410588121,39.86648085,7.688319163,82.37533569,60,0.311102308,0.388219036,0.590832964,0.687741351,0.227630585
HagiaSophia&Lund Cathedral,01_Byzantine,02_Romanesque,28.78916665,12.08361619,13.29471962,11.13785649,37.20714147,8.065671262,91.33688807,62,0.248542171,0.444012448,0.419851303,0.706598722,0.33783257
HagiaSophia&StMichaelsChurch,01_Byzantine,02_Romanesque,32.62052001,12.25493831,12.69404075,15.24523758,39.6620977,7.529919947,82.21818209,62,0.289051104,0.272306852,0.625860259,0.535391923,0.34706524
SaintSophiaChurch&AbbeyChurchOfSainteFoy,01_Byzantine,02_Romanesque,34.50029737,10.48617855,26.1876127,11.22367524,58.58930616,5.885468813,80.76035976,32,0.393346064,0.309006475,0.343716875,0.555625556,0.375588536
SaintSophiaChurch&Durham Cathedral,01_Byzantine,02_Romanesque,34.57104845,6.537534281,28.32913898,15.23985244,58.44463986,6.072001248,83.58508348,32,0.468622357,0.268029131,0.413197719,0.637598822,0.365405709
SaintSophiaChurch&Lund Cathedral,01_Byzantine,02_Romanesque,31.94237956,12.89563418,28.58490435,11.40306623,51.6159521,6.78349495,82.92794228,18,0.431938127,0.32776922,0.300397813,0.639727574,0.391222626
SaintSophiaChurch&StMichaelsChurch,01_Byzantine,02_Romanesque,33.39146944,6.868477359,20.36776329,11.68285888,56.97165897,6.144597225,87.73933649,32,0.490359724,0.244918022,0.390889794,0.564841141,0.431967199
SantaMariaMaggiore&AbbeyChurchOfSainteFoy,01_Byzantine,02_Romanesque,38.35722034,9.055951071,6.285327053,11.13122834,45.38680538,10.35717636,85.71688533,112,0.352445684,0.467998341,0.463207662,0.295503393,0.279040098
SantaMariaMaggiore&Durham Cathedral,01_Byzantine,02_Romanesque,35.3281207,8.420700777,6.161230658,10.95456318,43.29808508,11.19890919,94.71620321,112,0.40864183,0.384954803,0.625594452,0.33946737,0.31103763
SantaMariaMaggiore&Lund Cathedral,01_Byzantine,02_Romanesque,39.80031163,8.826957489,6.003752344,8.671131975,37.21903154,11.47342492,93.55000854,106,0.507045552,0.448678903,0.3573502,0.335125461,0.243815258
SantaMariaMaggiore&StMichaelsChurch,01_Byzantine,02_Romanesque,37.28999743,8.581863318,6.353679788,11.50464387,45.92649258,10.57906245,94.34328675,112,0.41716852,0.397357702,0.651848793,0.306485667,0.367483199
BasilicaOfSanVitale&CanterburyCathedral,01_Byzantine,03_Gothic,23.23190839,9.596842703,15.78563526,12.65171809,54.83453884,10.98424162,88.23721409,94,0.557158773,0.38307175,0.377809741,0.637495215,0.296201766
